"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.158839739E0,-2.884620726E-1,1.788653731E-1,-9.822874069E-1,1.039274621E0
1.163393750E0,-3.102539182E-1,1.734619141E-1,-9.527740479E-1,1.016919326E0
1.167947031E0,-3.251156807E-1,1.648103595E-1,-9.401912689E-1,1.008376062E0
1.172499583E0,-3.358130753E-1,1.574723125E-1,-9.040374756E-1,9.771651385E-1
1.177052916E0,-3.355321288E-1,1.631929874E-1,-8.539905548E-1,9.319407858E-1
1.181606927E0,-3.551111221E-1,1.722120643E-1,-7.474451065E-1,8.452426228E-1
1.186160208E0,-3.658595085E-1,1.887651086E-1,-6.014556885E-1,7.288582794E-1
1.190712708E0,-3.985967934E-1,2.195356488E-1,-4.780292511E-1,6.599903558E-1
1.195266094E0,-3.840581477E-1,2.499020100E-1,-3.461179733E-1,5.742380402E-1
1.199820104E0,-3.820092082E-1,2.653614879E-1,-2.295045853E-1,5.186714847E-1
1.204373385E0,-3.519589901E-1,2.589212060E-1,-1.517925262E-1,4.625540970E-1
1.208925885E0,-3.178156018E-1,2.593447566E-1,-1.269044876E-1,4.293846859E-1
1.213479271E0,-3.009099960E-1,2.382052541E-1,-9.271049500E-2,3.948212313E-1
1.218033281E0,-2.391771972E-1,2.457737923E-1,-6.829357147E-2,3.496777095E-1
1.222586562E0,-1.732129157E-1,2.274969816E-1,-6.308269501E-2,2.928088407E-1
1.227139062E0,-1.100583076E-1,2.193937302E-1,-4.845905304E-2,2.501893678E-1
1.231692396E0,-6.845460832E-2,2.119926214E-1,-6.722068787E-2,2.326919118E-1
1.236246458E0,-2.921223640E-3,2.289621234E-1,-4.553508759E-2,2.334644121E-1
1.240799739E0,1.747864485E-2,2.224786878E-1,-3.118324280E-2,2.253323416E-1
1.245352239E0,2.149456739E-2,2.518969774E-1,2.008438110E-3,2.528203660E-1
1.249905573E0,4.459209740E-2,2.527439594E-1,3.966045380E-2,2.596938886E-1
1.254459635E0,6.267271936E-2,2.273091674E-1,8.175754547E-2,2.495628650E-1
1.259012916E0,8.047354221E-2,1.851395965E-1,1.092901230E-1,2.295582544E-1
1.263565416E0,7.642103732E-2,1.476263404E-1,1.271371841E-1,2.092787015E-1
1.268118750E0,6.724441051E-2,1.098297238E-1,1.401357651E-1,1.903218633E-1
1.272672812E0,6.695044041E-2,5.509018898E-2,1.554555893E-1,1.779992434E-1
1.277226094E0,6.818082929E-2,1.682341099E-2,1.801967621E-1,1.933973260E-1
1.281778594E0,6.136929989E-2,4.226684570E-3,2.047986984E-1,2.138377018E-1
1.286331927E0,3.493091464E-2,-1.128196716E-2,2.055253983E-1,2.087777309E-1
1.290885989E0,1.054197550E-3,-1.997387409E-2,1.896781921E-1,1.907298706E-1
1.295439271E0,-4.020297527E-2,-4.072612524E-2,2.048435211E-1,2.126870110E-1
1.299991771E0,-6.025707722E-2,-5.655774474E-2,1.937961578E-1,2.106813818E-1
1.304545104E0,-1.042710096E-1,-4.847005010E-2,1.828556061E-1,2.160045413E-1
1.309099166E0,-1.243735403E-1,-6.401243806E-2,1.553955078E-1,2.090792520E-1
1.313652448E0,-1.656416208E-1,-3.654205799E-2,1.684980392E-1,2.390900620E-1
1.318204948E0,-1.755884290E-1,7.695794106E-3,1.933326721E-1,2.612815411E-1
1.322758281E0,-1.806830466E-1,1.630401611E-2,2.060813904E-1,2.745573232E-1
1.327312344E0,-1.928244084E-1,4.652619362E-2,2.685384750E-1,3.338545368E-1
1.331865625E0,-2.002392411E-1,8.868533373E-2,3.257198334E-1,3.924974547E-1
1.336418125E0,-1.836484373E-1,9.990811348E-2,3.586769104E-1,4.151596147E-1
1.340971458E0,-1.099125594E-1,1.183035374E-1,4.103279114E-1,4.409597402E-1
1.345525521E0,-6.459262967E-2,1.318292022E-1,4.567794800E-1,4.797902038E-1
1.350078802E0,2.628156543E-2,1.239604950E-1,5.075616837E-1,5.231403136E-1
1.354631302E0,7.928803563E-2,1.256099939E-1,5.199289322E-1,5.407315024E-1
